Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_ppm,reported_CO2_low,reported_CO2_high,reported_S_ppm,S_used,Notes
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),200.4,,,1921,mean,961,3843,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2882,1921,3843,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),200.4,,,2002,mean,1001,4004,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3003,2002,4004,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),200.4,,,997,mean,499,1995,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1496,997,1995,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),200.4,,,1411,mean,706,2823,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2117,1411,2823,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),200.3,,,1766,mean,883,3532,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2649,1766,3532,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),200.3,,,1811,mean,905,3621,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2716,1811,3621,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),200.2,,,1019,mean,509,2037,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1528,1019,2037,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),200.2,,,610,mean,305,1220,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),915,610,1220,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),199.8,,,523,mean,262,1047,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),785,523,1047,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Schaller et al., 2012",magnetostratigraphy (Hartford Basin),199.0,,,1179,mean,589,2357,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1768,1179,2357,3000,2000,"Argillic and vertic calcisols; S(z) originally calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Huang et al., 2012",Late Barremian,127.9,129.4,126.3,393,mean,234,551,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),530,316,744,1533,1135,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Huang et al., 2012",Early Valanginian,137.9,139.4,136.4,174,mean,76,272,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),241,105,377,1654,1192,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Huang et al., 2012",Early-middle Berriasian,143.5,145.0,142.0,232,mean,92,372,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),345,137,553,2315,1559,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Hong & Lee, 2012",Campanian,83.0,,,1522,mean,761,3044,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1522,1349,1695,1500,1500,
"Hong & Lee, 2012",radiometric constraints and assumptions about linear sedimentation rates,98.0,,,1520,mean,760,3040,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1520,1292,1748,2000,2000,
"Hong & Lee, 2012",radiometric constraints and assumptions about linear sedimentation rates,100.5,,,1368,mean,684,2736,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1368,1300,1436,2000,2000,
"Hong & Lee, 2012",radiometric constraints and assumptions about linear sedimentation rates,102.0,,,1428,mean,714,2856,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1428,1300,1556,2000,2000,
"Hong & Lee, 2012",radiometric constraints and assumptions about linear sedimentation rates,103.5,,,1060,mean,530,2120,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1060,984,1136,2000,2000,
"Hong & Lee, 2012",radiometric constraints and assumptions about linear sedimentation rates,113.5,,,449,mean,225,898,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),449,309,589,2500,2500,
"Gutierrez & Sheldon, 2012",Oxfordian to Kimmeridgian,157.8,163.5,152.1,558,mean,279,1115,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1673,1335,2011,6000,2000,Vertisol
"Cotton & Sheldon, 2012  (updated by Breecker & Retallack, 2014)",late Hemphillian,5.5,6.1,4.9,222,median,112,524,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 310 ppm,right-skewed (mode < mean,222,112,524,440,440,Aridisol
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",50.5,50.5,50.4,684,mean,574,807,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),684,574,807,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",50.7,50.8,50.7,397,mean,246,533,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),397,246,533,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",50.9,50.9,50.8,178,mean,109,246,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),178,109,246,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",51.1,51.2,51.1,1285,mean,1026,1532,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),1285,1026,1532,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",51.2,51.3,51.2,1354,mean,1258,1450,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),1354,1258,1450,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",51.4,51.4,51.3,971,mean,834,1108,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),971,834,1108,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",51.5,51.5,51.4,1709,mean,1436,2000,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),1709,1436,2000,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",51.5,51.6,51.5,1299,mean,1067,1491,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),1299,1067,1491,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",51.8,51.8,51.7,903,mean,738,1067,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),903,738,1067,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland & Sheldon, 2013","magnetostratigraphy (from Clyde et al., 2001)",52.0,52.0,51.9,301,mean,219,383,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),301,219,383,,,"Inceptisols, Entisols, and Alfisols; S(z) calculated with transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",63.6,,,235,mean,188,281,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),399,320,478,4700,2764,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",63.7,,,212,mean,148,276,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),341,238,444,2987,1857,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",64.6,,,200,mean,144,255,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),326,235,417,3337,2043,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",64.7,,,289,mean,188,390,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),456,297,615,2650,1679,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",64.9,,,175,mean,127,223,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),286,208,364,3338,2044,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",65.0,,,357,mean,260,455,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),584,425,743,3340,2045,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",65.1,,,278,mean,200,355,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),451,325,577,3203,1972,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",65.2,,,360,mean,189,532,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),569,298,840,2653,1681,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",65.4,,,298,mean,196,399,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),470,310,630,2654,1681,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",66.5,,,492,mean,395,588,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),837,673,1001,4738,2784,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Huang et al., 2013","magneto-, litho-, and chronostratigraphy; all ages adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago",68.3,,,175,mean,102,248,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),277,162,392,2699,1705,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014); all dates adjusted by +0.5 Myrs because the authors assume a KPB age of 65.5 Myrs ago"
"Hyland et al., 2013",biostratigraphy (near the Wa6-Wa7 boundary),52.8,52.9,52.7,400,mean,275,530,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),400,275,530,,,"Alfisols and Inceptisols; S(z) is based on transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland et al., 2013",biostratigraphy (near the Wa6-Wa7 boundary),52.6,52.7,52.5,750,mean,630,880,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),750,630,880,,,"Alfisols and Inceptisols; S(z) is based on transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland et al., 2013",biostratigraphy (near the Wa6-Wa7 boundary),51.9,52.0,51.8,1260,mean,1075,1440,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),1260,1075,1440,,,"Alfisols and Inceptisols; S(z) is based on transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland et al., 2013",biostratigraphy (near the Wa6-Wa7 boundary),51.8,51.9,51.7,1210,mean,1030,1400,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),1210,1030,1400,,,"Alfisols and Inceptisols; S(z) is based on transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Hyland et al., 2013",biostratigraphy (near the Wa6-Wa7 boundary),51.1,51.2,51.0,725,mean,640,800,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),725,640,800,,,"Alfisols and Inceptisols; S(z) is based on transfer function from mean annual precipitation (Cotton & Sheldon, 2012); actual values are not reported in text"
"Mortazavi et al., 2013",Berriasian-Barremian,135.7,145.0,126.3,924,mean,462,1847,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1711,1226,2196,5000,2699,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Srivastava et al., 2013",chronostratigraphy,31.6,35.5,27.7,265,mean,132,529,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",433,,,3382,2067,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Srivastava et al., 2013",chronostratigraphy,31.6,35.5,27.7,377,mean,188,754,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",633,,,4189,2494,"S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Gastaldo et al., 2014",Changhsingian (-41 m below PTB),253.2,254.2,252.2,1325,mean,663,2650,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1325,850,1800,1500,1500,
"Gastaldo et al., 2014",Changhsingian (-51 m below PTB),253.2,254.2,252.2,1100,mean,550,2200,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1100,700,1500,1500,1500,
"Gastaldo et al., 2014",Changhsingian (-60 m below PTB),253.2,254.2,252.2,883,mean,442,1766,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),883,533,1233,1500,1500,
"Breecker & Retallack, 2014",biostratigraphy (NALMA's; names and age ranges are not provided here or in associated Fox & Koch 2003 Geology paper),6.4,,,213,median,118,376,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 297 ppm,right skewed (mode < mean),213,118,376,596,596,Mollisol; Ogallala Formation
"Breecker & Retallack, 2014",biostratigraphy (NALMA's; names and age ranges are not provided here or in associated Fox & Koch 2003 Geology paper),6.7,,,283,median,154,531,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 391 ppm,right skewed (mode < mean),283,154,531,596,596,Mollisol; Ogallala Formation
"Breecker & Retallack, 2014",biostratigraphy (NALMA's; names and age ranges are not provided here or in associated Fox & Koch 2003 Geology paper),6.8,,,372,median,227,663,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 523 ppm,right skewed (mode < mean),372,227,663,596,596,Mollisol; Bridwell Formation
"Breecker & Retallack, 2014",biostratigraphy (NALMA's; names and age ranges are not provided here or in associated Fox & Koch 2003 Geology paper),8.8,,,274,median,173,476,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 387 ppm,right skewed (mode < mean),274,173,476,596,596,Mollisol; Ogallala Formation
"Breecker & Retallack, 2014",biostratigraphy (NALMA's; names and age ranges are not provided here or in associated Fox & Koch 2003 Geology paper),9.1,,,197,median,90,485,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 283 ppm,right skewed (mode < mean),197,90,485,440,440,Aridisol; Ash Hollow Formation
"Breecker & Retallack, 2014",biostratigraphy (NALMA's; names and age ranges are not provided here or in associated Fox & Koch 2003 Geology paper),12.7,,,267,median,131,624,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 370 ppm,right skewed (mode < mean),267,131,624,440,440,Aridisol; Ash Hollow Formation
"Breecker & Retallack, 2014",biostratigraphy (NALMA's; names and age ranges are not provided here or in associated Fox & Koch 2003 Geology paper),13.7,,,101,median,31,272,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 156 ppm,right skewed (mode < mean),101,31,272,440,440,Aridisol; Devil's Gulch Member of Valentine Formation
"Breecker & Retallack, 2014",biostratigraphy (NALMA's; names and age ranges are not provided here or in associated Fox & Koch 2003 Geology paper),17.5,,,261,median,125,609,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 362 ppm,right skewed (mode < mean),261,125,609,440,440,Aridisol; Dawes Clay Member of Box Butte Formation
"Breecker & Retallack, 2014",chronostratigraphy,17.8,,,237,median,73,1017,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 560 ppm,right skewed (mode < mean),237,73,1017,711,711,vertic Inceptisol; Hiwegi Formation
"Breecker & Retallack, 2014",chronostratigraphy,18.0,,,160,median,47,694,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 373 ppm,right skewed (mode < mean),160,47,694,711,711,Mollisol; Kiahera Formation
"Breecker & Retallack, 2014",approximate age,18.2,,,274,median,183,400,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 286 ppm,right skewed (mode < mean),274,183,400,629,629,Alfisol; Wayondo Formation
"Breecker & Retallack, 2014",biostratigraphy (NALMA's; names and age ranges are not provided here or in associated Fox & Koch 2003 Geology paper),23.0,,,203,median,97,493,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 289 ppm,right skewed (mode < mean),203,97,493,440,440,Aridisol; Monroe Creek - Harrison Formation
"Li et al., 2014",chronostratigraphy,100.8,,,763,mean,382,1526,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",954,,,2500,2000,sample GX-06A; CO2 value comes from column 15 in Table 2
"Li et al., 2014",chronostratigraphy,102.4,,,621,mean,310,1242,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",776,,,2500,2000,sampleGX-04A; CO2 value comes from column 15 in Table 2
"Li et al., 2014",chronostratigraphy,103.1,,,792,mean,396,1584,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",990,,,2500,2000,sample1109–02A; CO2 value comes from column 15 in Table 2
"Li et al., 2014",chronostratigraphy,103.3,,,1052,mean,526,2104,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",1315,,,2500,2000,sample1109–01A; CO2 value comes from column 15 in Table 2
"Li et al., 2014",chronostratigraphy,104.6,,,1246,mean,623,2493,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",1558,,,2500,2000,sample1108–06A; CO2 value comes from column 15 in Table 2
