age (Ma),ice extent,total,within 10,within 15,within 20,decay36 total,decay36 within 10,decay36 within 15,decay36 within 20,decay120 total,decay120 within 10,decay120 within 15,decay120 within 20,decay36_burial50 total,decay36_burial50 within 10,decay36_burial50 within 15,decay36_burial50 within 20,decay120_burial50 total,decay120_burial50 within 10,decay120_burial50 within 15,decay120_burial50 within 20,decay36_burial100 total,decay36_burial100 within 10,decay36_burial100 within 15,decay36_burial100 within 20,decay120_burial100 total,decay120_burial100 within 10,decay120_burial100 within 15,decay120_burial100 within 20
360,20.0,11061408.423369557,5234982.536213374,6406031.504541614,7461776.45844477,5542251.803521467,3563989.201163793,4037766.3509404417,4121839.4762995015,9207661.260631995,4993485.919160277,5942079.335352233,6503314.789856407,5539141.895968159,3563989.201163793,4037766.3509404417,4121839.4762995015,9171790.925190192,4993485.919160277,5942079.335352233,6503314.789856407,5536031.988414851,3563989.201163793,4037766.3509404417,4121839.4762995015,9135920.58974839,4993485.919160277,5942079.335352233,6503314.789856407
355,0.0,11066001.534854816,5319157.361310187,6061667.309484649,7047743.264856044,5030086.623107179,3289105.019539487,3662801.5366290417,3715295.6878820476,8944080.111219594,4935344.089235991,5647937.890743305,6127218.332337525,5027262.144209296,3289105.019539487,3662801.5366290417,3715295.6878820476,8909133.735857459,4935344.089235991,5647937.890743305,6127218.332337525,5024437.665311413,3289105.019539487,3662801.5366290417,3715295.6878820476,8874187.36049532,4935344.089235991,5647937.890743305,6127218.332337525
350,0.0,10820558.913669417,5370713.502638854,5928034.13125095,6738612.364641188,4557564.846202433,3016347.2293200633,3329760.112793285,3366738.0814245306,8593009.36728927,4850578.970521171,5440592.406523457,5824117.092504875,4554994.5487065315,3016347.2293200633,3329760.112793285,3366607.5424147374,8559046.79741135,4850578.970521171,5440592.406523457,5822537.256148262,4552424.25121063,3016347.2293200633,3329760.112793285,3366477.003404944,8525084.227533432,4850578.970521171,5440592.406523457,5820957.41979165
345,0.0,11041862.993250143,5428584.654305189,5916156.200982375,6371514.889057377,4143009.20348123,2769294.31230872,3018192.86976058,3037880.870153287,8427525.225323254,4797963.632003905,5284475.588509205,5533311.799883553,4140679.402184991,2769294.31230872,3018192.86976058,3037393.8047708906,8394541.607664822,4797963.632003905,5284475.588509205,5526873.573492725,4138349.6008887524,2769294.31230872,3018192.86976058,3036906.7393884948,8361557.99000639,4797963.632003905,5284475.588509205,5520435.347101899
340,0.0,11003958.009066708,5140676.684773111,5890760.6156368675,6023363.02452472,3761277.548103125,2381973.7521778713,2729424.269013454,2747064.380708865,8174141.458717151,4457354.212898653,5119135.049484252,5274633.115817974,3759161.5797198727,2381973.7521778713,2729424.269013454,2746179.767023829,8142094.772633184,4457354.212898653,5119135.049484252,5261443.5442376435,3757045.611336621,2381973.7521778713,2729424.269013454,2745295.1533387927,8110048.086549218,4457354.212898653,5119135.049484252,5248253.972657313
335,20.0,11001867.932505708,4343182.937959641,5671590.695374054,5909050.012721104,3413000.6439849758,1828004.3802133796,2387073.637669904,2489178.4295191756,7936507.101269068,3692946.7310467097,4807985.186947602,5106694.180819185,3411072.820491013,1828004.3802133796,2386915.2415208337,2488145.3197451006,7905351.1154644275,3692946.7310467097,4805560.561542136,5089129.432412023,3409144.9969970505,1828004.3802133796,2386756.845371763,2487112.2099710256,7874195.129659787,3692946.7310467097,4803135.93613667,5071564.684004861
330,40.0,11079621.730508445,3442201.629097118,4973064.317546459,6104947.641925081,3107110.044372339,1315915.672713878,1902242.895990458,2383794.4369442593,7743044.2650100505,2852111.130216077,4168927.2767120376,5174681.577713547,3105355.313217712,1315915.672713878,1901656.721372908,2382421.9644131768,7712614.844647981,2852111.130216077,4158632.6752376314,5150377.897656424,3103600.582063086,1315915.672713878,1901070.546755358,2381049.491882094,7682185.424285914,2852111.130216077,4148338.073763225,5126074.217599301
325,40.0,11004709.857699519,3890668.9325023983,5291234.128841491,6205758.688386605,2818167.686953291,1350838.530786754,1838629.279130059,2210647.6476079496,7490979.398239001,3082945.400578341,4304517.159187904,5142202.585546873,2816582.5028994125,1350694.4492577745,1837769.3538191055,2209062.4635540713,7461637.007510114,3080467.2026327765,4287877.221686727,5112860.194817986,2814997.318845534,1350550.367728795,1836909.4285081523,2207477.279500193,7432294.616781229,3077989.004687212,4271237.284185551,5083517.8040891
320,40.0,10897186.351170097,4589881.871880053,5649322.10886966,6239056.335076798,2558015.427990581,1447871.7946478107,1783395.1846258552,2018068.2094385503,7246785.0286411205,3519407.66073581,4457797.947081727,5034112.322607234,2556575.7336064456,1447344.970063927,1782265.1593368403,2016628.5150544157,7218231.528403744,3509609.5019244766,4435089.105184147,5005558.822369859,2555136.039222311,1446818.1454800433,1781135.1340478258,2015188.820670281,7189678.02816637,3499811.343113144,4412380.263286568,4977005.322132483
315,40.0,11006951.77853327,2782455.972373238,4809485.398735141,5920364.330112402,2324733.641228129,799724.3538159106,1437185.8990567834,1755455.0295736261,7070055.1583139505,2160930.8463453166,3733219.3212030116,4620416.279528369,2323424.6573551567,798559.1296437407,1435876.9151838114,1754146.0457006542,7042290.111245039,2136040.1361949444,3705454.2741340995,4592651.232459458,2322115.6734821848,797393.9054715704,1434567.931310839,1752837.0618276817,7014525.064176127,2111149.426044572,3677689.227065188,4564886.185390545
