Age (Ma),pCO2 probability maximum,lw95%,lw68%,up68%,up95%
184.50,859.47,593.27,737.67,1184.50,1499.77
185.00,956.90,607.54,749.64,1204.91,1540.25
185.50,965.18,578.77,754.39,1242.25,1579.13
186.00,945.03,567.27,751.88,1289.32,1664.52
186.50,950.25,542.96,743.58,1347.14,1793.60
187.00,947.85,530.43,754.77,1393.99,1884.93
187.50,952.48,534.89,771.21,1431.42,1987.17
188.00,972.15,551.79,796.78,1490.24,2117.42
188.50,985.24,576.10,818.10,1589.76,2225.47
189.00,1005.13,555.42,838.01,1688.92,2356.76
189.50,1074.93,561.75,844.56,1797.66,2513.56
190.00,1111.68,577.30,871.67,1884.77,2628.38
190.50,1156.62,624.87,908.11,1957.46,2759.35
191.00,1196.72,666.94,954.96,2008.93,2812.96
191.50,1246.89,720.13,1022.31,2060.05,2861.19
192.00,1345.54,757.63,1073.89,2143.95,2918.25
192.50,1436.28,781.15,1126.85,2233.77,2992.39
193.00,1466.45,810.43,1172.36,2301.15,3045.34
193.50,1449.82,833.90,1218.24,2355.26,3073.04
194.00,1740.76,882.85,1254.20,2399.23,3071.17
194.50,1769.77,926.93,1301.27,2402.85,3022.15
195.00,1796.57,990.88,1340.61,2362.87,2914.20
195.50,1800.11,1050.78,1369.51,2368.15,2849.58
196.00,1783.74,1068.40,1387.90,2345.15,2767.18
196.50,1772.47,1104.17,1411.47,2331.56,2734.43
197.00,1768.36,1110.68,1423.93,2316.50,2727.55
197.50,1770.42,1129.13,1444.34,2296.31,2672.27
198.00,1767.68,1158.82,1458.80,2256.78,2582.55
198.50,1768.01,1190.27,1456.86,2192.18,2499.02
199.00,1725.17,1161.61,1443.47,2152.46,2442.67
199.50,1731.48,1150.13,1413.08,2117.68,2430.05
200.00,1732.56,1151.22,1389.11,2085.77,2401.15
200.50,1730.60,1139.72,1375.09,2063.19,2393.52
201.00,1723.92,1148.13,1370.54,2028.40,2356.15
201.50,1732.22,1137.75,1363.05,1993.03,2291.21
202.00,1689.51,1146.14,1343.47,1948.82,2240.98
202.50,1550.94,1120.93,1327.44,1914.06,2220.93
203.00,1521.18,1096.07,1297.18,1895.57,2172.94
203.50,1602.61,1076.42,1276.17,1862.66,2140.69
204.00,1583.01,1063.52,1255.44,1832.03,2088.80
204.50,1545.19,1023.82,1236.30,1790.21,2053.81
205.00,1492.68,988.24,1209.18,1760.92,1993.55
205.50,1461.27,953.66,1183.84,1725.13,1952.53
206.00,1543.67,919.86,1154.67,1692.57,1921.07
206.50,1540.96,901.12,1124.49,1673.12,1898.23
207.00,1505.03,878.94,1096.45,1649.47,1878.99
207.50,1437.95,871.70,1076.58,1618.32,1854.54
208.00,1368.30,849.24,1050.23,1593.22,1834.18
208.50,1348.82,832.23,1031.49,1565.29,1818.11
209.00,1277.87,797.27,999.01,1543.66,1820.72
209.50,1240.43,784.18,979.73,1531.17,1802.67
210.00,1206.60,785.50,969.54,1522.98,1792.16
210.50,1197.14,783.03,960.62,1504.60,1765.11
211.00,1178.39,789.11,964.25,1500.91,1725.55
211.50,1170.68,778.83,970.66,1492.65,1722.00
